TotalT,Temp,LSR,CA,Size,IsoT,F_X,Yield Lvls
60.03479583,443.15,6,0,5,60.03479583,21.59090909,2
65,403.15,10,1.223503502,0.5,30,19.77272727,2
70,393.15,5,0,0.177,60,12.16,2
62.5299986,433.15,10,0.137136588,0.5,60.0299986,20.909,1
0,403.15,8,0.405231539,0.5,0,33.20454545,1
615.58,373.73,10,2.039172504,0.5,540,19.77272727,3
40.625,463.15,8,0,8,20,18.86363636,2
60.81913329,388.15,8,0.305903946,8,49.56913329,18.86363636,3
105.2,373.35,10,0.713710376,0.5,30,19.77272727,1
154.3296703,440.15,6,0,5,150.3296703,15.1,2
315,413.15,5.666666667,0,2,300,19.31818182,2
16,433.15,9,0.152937938,0.84,12,16.59090909,3
123.908085,388.15,8,0.101967982,8,112.658085,18.86363636,3
35,393.15,4,0,4,15,19.48,1
12,413.15,20,0.1,0.25,10,20.90909091,3
28,433.15,9,0.152937938,0.84,24,16.59090909,3
64.875,433.15,8,0,8,48,18.86363636,1
70,453.15,8,0,8,65,16.89772727,3
115,413.15,20,0,1.625,114.6539352,18.6,1
108.9044529,408.15,8,0.203935964,8,95.15445285,18.86363636,2
80.66209532,433.15,6,0,5,59.56834532,15.02,1
14,448.15,9,0.152937938,0.84,10,16.59090909,3
44.59588985,408.15,8,0.305903946,8,30.84588985,18.86363636,3
97,393.15,5,0.1,3,67,16.93181818,2
29.54697337,433.15,6,0,0.595,29.54697337,15.1,2
110.8640227,448.15,20,0.101958625,0.5,65.86402266,16.99431818,1
73,443.15,4,0,3,19,19.9,1
201.1131594,388.15,8,0.203935964,8,189.8631594,18.86363636,2
435.58,373.73,10,2.039172504,0.5,360,19.77272727,3
10,453.15,20,1,7.9,10,18.75,2
30,458.15,3.333333333,0,1,20,23.86363636,1
34.59235453,388.15,8,0.407871928,8,23.34235453,18.86363636,3
144,403.15,20,0,1.625,143.8269676,18.6,1
60,443.15,4,0.045708819,0.42,60,25.02272727,2
14.0647964,408.15,8,0.101967982,8,0.314796398,18.86363636,3
0,423.15,5,0.34065,3,0,34.9,1
175.6189654,398.15,8,0.101967982,8,163.1189654,18.86363636,3
